Frame 378: P, Time: 15.12s
Frame 379: P, Time: 15.16s
Frame 380: P, Time: 15.20s
Frame 381: P, Time: 15.24s
Frame 382: P, Time: 15.28s
Frame 383: P, Time: 15.32s
Frame 384: P, Time: 15.36s
Frame 385: P, Time: 15.40s
Frame 386: P, Time: 15.44s
Frame 387: P, Time: 15.48s
Frame 388: P, Time: 15.52s
Frame 389: P, Time: 15.56s
Frame 390: P, Time: 15.60s
Frame 391: P, Time: 15.64s
Frame 392: P, Time: 15.68s
Frame 393: P, Time: 15.72s
Frame 394: P, Time: 15.76s
Frame 395: I, Time: 15.80s
Frame 396: P, Time: 15.84s
Frame 397: P, Time: 15.88s
Frame 398: P, Time: 15.92s
Frame 399: I, Time: 15.96s
Frame 400: P, Time: 16.00s
Frame 401: I, Time: 16.04s
Frame 402: P, Time: 16.08s
Frame 403: P, Time: 16.12s
Frame 404: P, Time: 16.16s
Frame 405: P, Time: 16.20s
Frame 406: P, Time: 16.24s
Frame 407: P, Time: 16.28s
Frame 408: I, Time: 16.32s
Frame 409: I, Time: 16.36s
Frame 410: I, Time: 16.40s
Frame 411: I, Time: 16.44s
Frame 412: I, Time: 16.48s
Frame 413: P, Time: 16.52s
Frame 414: I, Time: 16.56s
Frame 415: I, Time: 16.60s
Frame 416: I, Time: 16.64s
Frame 417: I, Time: 16.68s
Frame 418: I, Time: 16.72s
Frame 419: I, Time: 16.76s
Frame 420: I, Time: 16.80s
Frame 421: I, Time: 16.84s
Frame 422: P, Time: 16.88s
Frame 423: P, Time: 16.92s
Frame 424: P, Time: 16.96s
Frame 425: P, Time: 17.00s
Frame 426: I, Time: 17.04s
Frame 427: P, Time: 17.08s
Frame 428: I, Time: 17.12s
Frame 429: I, Time: 17.16s
Frame 430: P, Time: 17.20s
Frame 431: P, Time: 17.24s
Frame 432: P, Time: 17.28s
Frame 433: I, Time: 17.32s
Frame 434: I, Time: 17.36s
Frame 435: P, Time: 17.40s
Frame 436: I, Time: 17.44s
Frame 437: I, Time: 17.48s
Frame 438: I, Time: 17.52s
Frame 439: I, Time: 17.56s
Frame 440: I, Time: 17.60s
Frame 441: I, Time: 17.64s
Frame 442: I, Time: 17.68s
Frame 443: I, Time: 17.72s
Frame 444: I, Time: 17.76s
Frame 445: I, Time: 17.80s
Frame 446: I, Time: 17.84s
Frame 447: P, Time: 17.88s
Frame 448: I, Time: 17.92s
Frame 449: I, Time: 17.96s
Frame 450: I, Time: 18.00s
Frame 451: I, Time: 18.04s
Frame 452: I, Time: 18.08s
Frame 453: I, Time: 18.12s
Frame 454: I, Time: 18.16s
Frame 455: P, Time: 18.20s
Frame 456: I, Time: 18.24s
Frame 457: P, Time: 18.28s
Frame 458: I, Time: 18.32s
Frame 459: I, Time: 18.36s
Frame 460: I, Time: 18.40s
Frame 461: I, Time: 18.44s
Frame 462: P, Time: 18.48s
Frame 463: P, Time: 18.52s
Frame 464: P, Time: 18.56s
Frame 465: P, Time: 18.60s
Frame 466: P, Time: 18.64s
Frame 467: P, Time: 18.68s
Frame 468: P, Time: 18.72s
Frame 469: P, Time: 18.76s
Frame 470: P, Time: 18.80s
Frame 471: P, Time: 18.84s
Frame 472: P, Time: 18.88s
Frame 473: P, Time: 18.92s
Frame 474: P, Time: 18.96s
Frame 475: P, Time: 19.00s
Frame 476: P, Time: 19.04s
Frame 477: P, Time: 19.08s
Frame 478: P, Time: 19.12s
Frame 479: P, Time: 19.16s
Frame 480: P, Time: 19.20s
Frame 481: P, Time: 19.24s
Frame 482: P, Time: 19.28s
Frame 483: P, Time: 19.32s
Frame 484: P, Time: 19.36s
Frame 485: P, Time: 19.40s
Frame 486: P, Time: 19.44s
Frame 487: P, Time: 19.48s
Frame 488: P, Time: 19.52s
Frame 489: P, Time: 19.56s
Frame 490: P, Time: 19.60s
Frame 491: P, Time: 19.64s
Frame 492: P, Time: 19.68s
Frame 493: P, Time: 19.72s
Frame 494: P, Time: 19.76s
Frame 495: P, Time: 19.80s
Frame 496: P, Time: 19.84s
Frame 497: P, Time: 19.88s
Frame 498: P, Time: 19.92s
Frame 499: P, Time: 19.96s
Frame 500: I, Time: 20.00s
Frame 501: P, Time: 20.04s
Frame 502: P, Time: 20.08s
Frame 503: P, Time: 20.12s
Frame 504: P, Time: 20.16s
Frame 505: P, Time: 20.20s
Frame 506: P, Time: 20.24s
Frame 507: P, Time: 20.28s
Frame 508: P, Time: 20.32s
Frame 509: P, Time: 20.36s
Frame 510: P, Time: 20.40s
Frame 511: P, Time: 20.44s
Frame 512: P, Time: 20.48s
Frame 513: P, Time: 20.52s
Frame 514: P, Time: 20.56s
Frame 515: P, Time: 20.60s
Frame 516: P, Time: 20.64s
Frame 517: P, Time: 20.68s
Frame 518: P, Time: 20.72s
Frame 519: P, Time: 20.76s
Frame 520: P, Time: 20.80s
Frame 521: P, Time: 20.84s
Frame 522: P, Time: 20.88s
Frame 523: P, Time: 20.92s
Frame 524: P, Time: 20.96s
Frame 525: P, Time: 21.00s
Frame 526: P, Time: 21.04s
Frame 527: P, Time: 21.08s
Frame 528: I, Time: 21.12s
Frame 529: I, Time: 21.16s
Frame 530: P, Time: 21.20s
Frame 531: I, Time: 21.24s
Frame 532: P, Time: 21.28s
Frame 533: P, Time: 21.32s
Frame 534: P, Time: 21.36s
Frame 535: P, Time: 21.40s
Frame 536: P, Time: 21.44s
Frame 537: P, Time: 21.48s
Frame 538: P, Time: 21.52s
Frame 539: P, Time: 21.56s
Frame 540: P, Time: 21.60s
Frame 541: P, Time: 21.64s
Frame 542: I, Time: 21.68s
Frame 543: I, Time: 21.72s
Frame 544: I, Time: 21.76s
Frame 545: I, Time: 21.80s
Frame 546: I, Time: 21.84s
Frame 547: P, Time: 21.88s
Frame 548: P, Time: 21.92s
Frame 549: P, Time: 21.96s
Frame 550: I, Time: 22.00s
Frame 551: I, Time: 22.04s
Frame 552: I, Time: 22.08s
Frame 553: I, Time: 22.12s
Frame 554: I, Time: 22.16s
Frame 555: I, Time: 22.20s
Frame 556: I, Time: 22.24s
Frame 557: I, Time: 22.28s
Frame 558: I, Time: 22.32s
Frame 559: I, Time: 22.36s
Frame 560: I, Time: 22.40s
Frame 561: I, Time: 22.44s
Frame 562: I, Time: 22.48s
Frame 563: I, Time: 22.52s
Frame 564: I, Time: 22.56s
Frame 565: I, Time: 22.60s
Frame 566: I, Time: 22.64s
Frame 567: I, Time: 22.68s
Frame 568: I, Time: 22.72s
Frame 569: I, Time: 22.76s
Frame 570: I, Time: 22.80s
Frame 571: I, Time: 22.84s
Frame 572: P, Time: 22.88s
Frame 573: I, Time: 22.92s
Frame 574: I, Time: 22.96s
Frame 575: I, Time: 23.00s
Frame 576: I, Time: 23.04s
Frame 577: I, Time: 23.08s
Frame 578: I, Time: 23.12s
Frame 579: I, Time: 23.16s
Frame 580: I, Time: 23.20s
Frame 581: P, Time: 23.24s
Frame 582: P, Time: 23.28s
Frame 583: P, Time: 23.32s
Frame 584: P, Time: 23.36s
Frame 585: P, Time: 23.40s
Frame 586: P, Time: 23.44s
Frame 587: P, Time: 23.48s
Frame 588: P, Time: 23.52s
Frame 589: I, Time: 23.56s
Frame 590: I, Time: 23.60s
Frame 591: I, Time: 23.64s
Frame 592: I, Time: 23.68s
Frame 593: I, Time: 23.72s
Frame 594: I, Time: 23.76s
Frame 595: I, Time: 23.80s
Frame 596: I, Time: 23.84s
Frame 597: P, Time: 23.88s
Frame 598: I, Time: 23.92s
Frame 599: I, Time: 23.96s
Frame 600: I, Time: 24.00s
Frame 601: I, Time: 24.04s
Frame 602: I, Time: 24.08s
Frame 603: I, Time: 24.12s
Frame 604: I, Time: 24.16s
Frame 605: I, Time: 24.20s
Frame 606: I, Time: 24.24s
Frame 607: I, Time: 24.28s
Frame 608: I, Time: 24.32s
Frame 609: I, Time: 24.36s
Frame 610: I, Time: 24.40s
Frame 611: P, Time: 24.44s
Frame 612: P, Time: 24.48s
Frame 613: P, Time: 24.52s
Frame 614: P, Time: 24.56s
Frame 615: I, Time: 24.60s
Frame 616: I, Time: 24.64s
Frame 617: P, Time: 24.68s
Frame 618: I, Time: 24.72s
Frame 619: I, Time: 24.76s
Frame 620: I, Time: 24.80s
Frame 621: P, Time: 24.84s
Frame 622: P, Time: 24.88s
Frame 623: I, Time: 24.92s
Frame 624: P, Time: 24.96s
Frame 625: I, Time: 25.00s
Frame 626: I, Time: 25.04s
Frame 627: I, Time: 25.08s
Frame 628: I, Time: 25.12s
Frame 629: I, Time: 25.16s
Frame 630: I, Time: 25.20s
Frame 631: I, Time: 25.24s
Frame 632: I, Time: 25.28s
Frame 633: I, Time: 25.32s
Frame 634: I, Time: 25.36s
Frame 635: I, Time: 25.40s
Frame 636: I, Time: 25.44s
Frame 637: I, Time: 25.48s
Frame 638: I, Time: 25.52s
Frame 639: I, Time: 25.56s
Frame 640: I, Time: 25.60s
Frame 641: I, Time: 25.64s
Frame 642: I, Time: 25.68s
Frame 643: I, Time: 25.72s
Frame 644: I, Time: 25.76s
Frame 645: I, Time: 25.80s
Frame 646: I, Time: 25.84s
Frame 647: P, Time: 25.88s
Frame 648: I, Time: 25.92s
Frame 649: P, Time: 25.96s
Frame 650: P, Time: 26.00s
Frame 651: P, Time: 26.04s
Frame 652: I, Time: 26.08s
Frame 653: I, Time: 26.12s
Frame 654: I, Time: 26.16s
Frame 655: I, Time: 26.20s
Frame 656: I, Time: 26.24s
Frame 657: I, Time: 26.28s
Frame 658: I, Time: 26.32s
Frame 659: I, Time: 26.36s
Frame 660: P, Time: 26.40s
Frame 661: P, Time: 26.44s
Frame 662: I, Time: 26.48s
Frame 663: I, Time: 26.52s
Frame 664: P, Time: 26.56s
Frame 665: P, Time: 26.60s
Frame 666: P, Time: 26.64s
Frame 667: I, Time: 26.68s
Frame 668: I, Time: 26.72s
Frame 669: I, Time: 26.76s
Frame 670: P, Time: 26.80s
Frame 671: I, Time: 26.84s
Frame 672: P, Time: 26.88s
Frame 673: P, Time: 26.92s
Frame 674: P, Time: 26.96s
Frame 675: P, Time: 27.00s
Frame 676: P, Time: 27.04s
Frame 677: P, Time: 27.08s
Frame 678: P, Time: 27.12s
Frame 679: I, Time: 27.16s
Frame 680: P, Time: 27.20s
Frame 681: I, Time: 27.24s
Frame 682: P, Time: 27.28s
Frame 683: I, Time: 27.32s
Frame 684: P, Time: 27.36s
Frame 685: P, Time: 27.40s
Frame 686: P, Time: 27.44s
Frame 687: P, Time: 27.48s
Frame 688: P, Time: 27.52s
Frame 689: P, Time: 27.56s
Frame 690: P, Time: 27.60s
Frame 691: P, Time: 27.64s
Frame 692: P, Time: 27.68s
Frame 693: P, Time: 27.72s
Frame 694: I, Time: 27.76s
Frame 695: I, Time: 27.80s
Frame 696: I, Time: 27.84s
Frame 697: P, Time: 27.88s
Frame 698: P, Time: 27.92s
Frame 699: P, Time: 27.96s
Frame 700: I, Time: 28.00s
Frame 701: I, Time: 28.04s
Frame 702: I, Time: 28.08s
Frame 703: I, Time: 28.12s
Frame 704: I, Time: 28.16s
Frame 705: I, Time: 28.20s
Frame 706: I, Time: 28.24s
Frame 707: I, Time: 28.28s
Frame 708: I, Time: 28.32s
Frame 709: I, Time: 28.36s
Frame 710: I, Time: 28.40s
Frame 711: I, Time: 28.44s
Frame 712: I, Time: 28.48s
Frame 713: I, Time: 28.52s
Frame 714: I, Time: 28.56s
Frame 715: I, Time: 28.60s
Frame 716: I, Time: 28.64s
Frame 717: I, Time: 28.68s
Frame 718: I, Time: 28.72s
Frame 719: I, Time: 28.76s
Frame 720: I, Time: 28.80s
Frame 721: I, Time: 28.84s
Frame 722: P, Time: 28.88s
Frame 723: I, Time: 28.92s
Frame 724: I, Time: 28.96s
Frame 725: I, Time: 29.00s
Frame 726: P, Time: 29.04s
Frame 727: P, Time: 29.08s
Frame 728: I, Time: 29.12s
Frame 729: I, Time: 29.16s
Frame 730: P, Time: 29.20s
Frame 731: I, Time: 29.24s
Frame 732: I, Time: 29.28s
Frame 733: P, Time: 29.32s
Frame 734: P, Time: 29.36s
Frame 735: I, Time: 29.40s
Frame 736: I, Time: 29.44s
Frame 737: I, Time: 29.48s
Frame 738: I, Time: 29.52s
Frame 739: I, Time: 29.56s
Frame 740: P, Time: 29.60s
Frame 741: P, Time: 29.64s
Frame 742: I, Time: 29.68s
Frame 743: I, Time: 29.72s
Frame 744: I, Time: 29.76s
Frame 745: I, Time: 29.80s
Frame 746: I, Time: 29.84s
Frame 747: P, Time: 29.88s
Frame 748: I, Time: 29.92s
Frame 749: I, Time: 29.96s
Frame 750: I, Time: 30.00s
Frame 751: P, Time: 30.04s
Frame 752: P, Time: 30.08s
Frame 753: P, Time: 30.12s
Frame 754: I, Time: 30.16s
Frame 755: I, Time: 30.20s
Frame 756: P, Time: 30.24s
Frame 757: P, Time: 30.28s
Frame 758: P, Time: 30.32s
Frame 759: P, Time: 30.36s
Frame 760: P, Time: 30.40s
Frame 761: P, Time: 30.44s
Frame 762: P, Time: 30.48s
Frame 763: P, Time: 30.52s
Frame 764: P, Time: 30.56s
Frame 765: I, Time: 30.60s
Frame 766: I, Time: 30.64s
Frame 767: P, Time: 30.68s
Frame 768: P, Time: 30.72s
Frame 769: P, Time: 30.76s
Frame 770: P, Time: 30.80s
Frame 771: P, Time: 30.84s
Frame 772: P, Time: 30.88s
Frame 773: I, Time: 30.92s
Frame 774: I, Time: 30.96s
Frame 775: I, Time: 31.00s
Frame 776: I, Time: 31.04s
Frame 777: P, Time: 31.08s
Frame 778: P, Time: 31.12s
